strategy,scenario,phase,period_index,calendar_year,build_year,op_year,occupancy,it_kw,rent_eur_per_kw_month,gross_potential_revenue,revenue,opex,noi,capex,debt_draw,equity_draw,interest,principal,debt_service,debt_balance_end,terminal_or_sale_value,project_cashflow,equity_cashflow,dscr,discount_factor_project,discount_factor_equity,discounted_project_cf,discounted_equity_cf,cum_project_cf,cum_equity_cf
Build-to-exit,Base,Build,0,2026,1.0,,0.0,12000.0,57.0,0.0,0.0,0.0,0.0,-37200000.0,22320000.0,14880000.0,0.0,0.0,0.0,22320000.0,0.0,-37200000.0,-14880000.0,,1.0,1.0,-37200000.0,-14880000.0,-37200000.0,-14880000.0
Build-to-exit,Base,Build,1,2027,2.0,,0.0,12000.0,57.0,0.0,0.0,0.0,0.0,-24800000.0,14880000.0,9920000.0,0.0,0.0,0.0,37200000.0,0.0,-24800000.0,-9920000.0,,0.9259259259259258,0.8928571428571428,-22962962.96296296,-8857142.857142856,-62000000.0,-24800000.0
Build-to-exit,Base,Operate,2,2028,,1.0,0.3,12000.0,57.0,8208000.0,2462400.0,950000.0,1512400.0,0.0,0.0,0.0,2306400.0,1574024.4927398493,3880424.4927398493,35625975.50726015,0.0,1512400.0,-2368024.4927398493,0.3897511735712555,0.8573388203017832,0.7971938775510203,1296639.231824417,-1887774.6275030684,-60487600.0,-27168024.49273985
Build-to-exit,Base,Operate,3,2029,,2.0,0.58,12000.0,57.0,8372160.0,4855852.8,973749.9999999999,3882102.8,0.0,0.0,0.0,2208810.4814501293,1671614.01128972,3880424.4927398493,33954361.49597043,0.0,3882102.8,1678.3072601505555,1.0004325060990855,0.7938322410201696,0.7117802478134109,3081738.365594675,1194.585957537009,-56605497.2,-27166346.185479697
Build-to-exit,Base,Operate,4,2030,,3.0,0.8,12000.0,57.0,8539603.2,6831682.56,998093.7499999999,5833588.81,0.0,0.0,0.0,2105170.4127501664,1775254.0799896829,3880424.4927398493,32179107.415980745,0.0,5833588.81,1953164.3172601503,1.5033377974276934,0.7350298527964533,0.6355180784048311,4287861.924289336,1241271.2337140546,-50771908.39,-25213181.868219547
Build-to-exit,Base,Operate,5,2031,,4.0,0.9,12000.0,57.0,8710395.264,7839355.737600001,1023046.0937499997,6816309.643850001,0.0,0.0,0.0,1995104.6597908062,1885319.832949043,3880424.4927398493,30293787.583031703,0.0,6816309.643850001,2935885.1511101513,1.756588655855332,0.6805831970337529,0.5674268557185992,4639065.809383435,1665900.0800453576,-43955598.74615,-22277296.717109397
Build-to-exit,Base,Operate,6,2032,,5.0,0.9,12000.0,57.0,8884603.16928,7996142.852352,1048622.2460937495,6947520.606258251,0.0,0.0,0.0,1878214.8301479656,2002209.6625918837,3880424.4927398493,28291577.92043982,0.0,6947520.606258251,3067096.1135184015,1.7904022148238783,0.6301696268831045,0.5066311211773206,4378116.4682084415,1553886.3427504303,-37008078.13989175,-19210200.603590995
Build-to-exit,Base,Operate,7,2033,,6.0,0.9,12000.0,57.0,9062295.2326656,8156065.709399041,1074837.8022460933,7081227.907152947,0.0,0.0,0.0,1754077.831067269,2126346.66167258,3880424.492739849,26165231.25876724,0.0,7081227.907152947,3200803.4144130982,1.8248590896180816,0.5834903952621338,0.4523492153368934,4131828.470485925,1447880.912957414,-29926850.232738804,-16009397.189177897
Build-to-exit,Base,Operate,8,2034,,7.0,0.9,12000.0,57.0,9243541.137318913,8319187.023587022,1101708.7473022453,7217478.276284777,0.0,0.0,0.0,1622244.338043569,2258180.15469628,3880424.492739849,23907051.10407096,0.0,7217478.276284777,3337053.783544928,1.8599713226706123,0.5402688845019757,0.40388322797936904,3899378.937245619,1347780.054038892,-22709371.956454027,-12672343.405632969
Build-to-exit,Base,Operate,9,2035,,8.0,0.9,12000.0,57.0,9428411.96006529,8485570.764058761,1129251.4659848018,7356319.29807396,0.0,0.0,0.0,1482237.1684523996,2398187.32428745,3880424.4927398497,21508863.77978351,0.0,7356319.29807396,3475894.80533411,1.8957511766656967,0.5002489671314589,0.36061002498157946,3679991.130750717,1253442.5125848756,-15353052.658380069,-9196448.60029886
Build-to-exit,Base,Operate,10,2036,,9.0,0.9,12000.0,57.0,9616980.199266598,8655282.179339938,1157482.7526344215,7497799.426705517,0.0,0.0,0.0,1333549.5543465775,2546874.9383932715,3880424.492739849,18961988.841390237,0.0,7497799.426705517,3617374.933965668,1.9322111384292264,0.46319348808468414,0.32197323659069593,3472931.869415073,1164697.9154509811,-7855253.231674552,-5579073.666333191
Build-to-exit,Base,Operate,11,2037,,10.0,0.9,12000.0,57.0,9809319.80325193,8828387.822926737,1186419.821450282,7641968.0014764555,0.0,0.0,0.0,1175643.3081661947,2704781.1845736546,3880424.4927398493,16257207.656816583,0.0,7641968.0014764555,3761543.508736606,1.969363922883781,0.4288828593376705,0.2874761040988356,3277509.0874402057,1081353.873289864,-213285.23019809648,-1817530.1575965849
Build-to-exit,Base,Operate,12,2038,,11.0,0.9,12000.0,57.0,10005506.199316967,9004955.579385271,1216080.3169865387,7788875.262398733,0.0,0.0,0.0,1007946.8747226282,2872477.618017221,3880424.492739849,13384730.038799362,0.0,7788875.262398733,3908450.769658884,2.0072224770695763,0.3971137586459912,0.25667509294538887,3093069.531075942,1003201.9645746708,7575590.032200636,2090920.6120622992
Build-to-exit,Base,Operate,13,2039,,12.0,0.9,12000.0,57.0,10205616.323303306,9185054.690972976,1246482.3249112023,7938572.366061774,0.0,0.0,0.0,829853.2624055605,3050571.230334289,3880424.4927398493,10334158.808465073,0.0,7938572.366061774,4058147.873321925,2.0457999842322896,0.367697924672214,0.2291741901298115,2918996.583861102,930022.7522955689,15514162.398262411,6149068.485384224
Build-to-exit,Base,Operate,14,2040,,13.0,0.9,12000.0,57.0,10409728.649769373,9368755.784792436,1277644.3830339822,8091111.401758454,0.0,0.0,0.0,640717.8461248345,3239706.646615015,3880424.4927398493,7094452.161850058,0.0,8091111.401758454,4210686.909018604,2.0851098679787907,0.34046104136316113,0.20461981261590312,2754708.2136280295,861589.9663076231,23605273.800020866,10359755.394402828
Build-to-exit,Base,Operate,15,2041,,14.0,0.9,12000.0,57.0,10617923.222764762,9556130.900488285,1309585.4926098315,8246545.407878454,0.0,0.0,0.0,439856.03403470357,3440568.458705146,3880424.4927398493,3653883.7031449117,0.0,8246545.407878454,4366120.915138604,2.125165796501769,0.31524170496588994,0.1826962612641992,2599655.034458234,797673.9674232468,31851819.20789932,14725876.309541432
Build-to-exit,Base,Operate,16,2042,,15.0,0.9,12000.0,57.0,10830281.687220056,9747253.51849805,1342325.1299250773,8404928.388572972,0.0,0.0,0.0,226540.78959498453,3653883.7031448646,3880424.4927398493,4.7031790018081665e-08,111066709.11521547,119471637.50378844,115591213.01104854,2.1659816868742907,0.29189046756100917,0.16312166184303498,34872632.13126021,18855430.760814484,151323456.71168777,130317089.32058997
